,Average User Rating,User Rating Count,Price,Developer,Age Rating,Languages,Size,Primary Genre,Genres,game_age
0,4.0,0.0011699034104267147,0.016612034001888994,0.7507805308376803,0.0,0.1452630912941702,0.00394509632563593,0.6895125664842379,0.1280066452222845,0.8267515923566879
1,3.5,9.199635048169487e-05,0.0110561697872104,0.625,0.0,0.000582685634223618,0.003065162969978314,0.6895125664842379,0.11325920445124199,0.9164331210191082
2,3.0,0.002760220250474078,0.0,0.6875,0.0,0.000582685634223618,0.00015565642705579047,0.6895125664842379,0.11325920445124199,0.8517197452229299
3,3.5,0.06277811172709465,0.0,0.7507805308376803,0.0,0.1452630912941702,0.005367766030526875,0.6895125664842379,0.1280066452222845,0.8236942675159236
4,3.5,7.583928534333269e-06,0.016612034001888994,0.625,0.0,0.12788030816267132,0.008647447907264688,0.6895125664842379,0.28932361397538653,0.9314649681528663
5,3.0,1.3848912975739012e-05,0.0,0.6875,0.0,0.000582685634223618,0.012138548983633195,0.6895125664842379,0.3713194533443587,1.0
7,2.5,3.956832278782575e-05,0.005500305572531807,0.5664026541884013,0.0,0.000582685634223618,0.016048398124082812,0.6895125664842379,0.11325920445124199,0.9459872611464968
8,2.5,1.2859704906043369e-05,0.0,0.5664026541884013,0.0,6.69509833198796e-05,0.0006505869838696034,0.6895125664842379,0.35657201257331617,0.8659872611464968
9,2.5,5.9022748158506744e-05,0.0,0.375,0.0,0.000582685634223618,0.00035330744462732717,0.6895125664842379,0.13030234457047166,0.0
10,4.03122123350721,0.0011792699774984283,0.0,0.7578053083768026,0.0,0.000582685634223618,0.0007585841655487749,0.6895125664842379,0.3713194533443587,0.012738853503184714
11,3.5,0.0016707724297159424,0.0,0.625,0.0,0.000582685634223618,0.0017563363506106215,0.6895125664842379,0.1280066452222845,0.02445859872611465
12,3.0,0.00017179246810381012,0.0,0.75,0.0,0.000582685634223618,0.00019814558263453312,0.6895125664842379,0.24331280812207426,0.08585987261146497
13,3.5,0.00032446024686017113,0.005500305572531807,0.625,0.0,0.000582685634223618,0.0008967740325326725,0.6895125664842379,0.1280066452222845,0.9941401273885351
14,2.5,0.0007758688626646166,0.0,0.5,0.0,0.000582685634223618,0.0001698140697400231,0.6895125664842379,0.3713194533443587,0.014012738853503185
15,3.0,3.5281754485811294e-05,0.0,0.5,0.0,0.03688312726972504,0.030651406009577966,0.6895125664842379,0.11325920445124199,0.6137579617834394
16,3.0,3.5281754485811294e-05,0.0,0.5,0.0,0.03688312726972504,0.030651406009577966,0.6895125664842379,0.11325920445124199,0.6137579617834394
17,3.0,0.00016453827559270874,0.0,0.5,0.0,0.000582685634223618,9.807292605865944e-05,0.6895125664842379,0.11325920445124199,0.10191082802547771
